Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
62. AG, major/musical	Sam’s iPhone		Voice Memos						Voice Memo	254219	30						4/24/21, 3:06 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:04 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/62. AG, major_musical.m4a
63. AG, major/musical	Sam’s iPhone		Voice Memos						Voice Memo	132469	15						4/24/21, 3:06 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 3:06 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/63. AG, major_musical.m4a
64. AG, stressed/alt-tuning	Sam’s iPhone		Voice Memos						Voice Memo	166421	20						4/24/21, 3:07 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			7	4/24/21, 3:07 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/64. AG, stressed_alt-tuning.m4a
65. AG, stressed/alt-tuning	Sam’s iPhone		Voice Memos						Voice Memo	223459	27						4/24/21, 3:07 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:07 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/65. AG, stressed_alt-tuning.m4a
66. AG, minor/alt-tuning	Sam’s iPhone		Voice Memos						Voice Memo	136960	16						4/24/21, 3:10 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			9	4/24/21, 3:10 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/66. AG, minor_alt-tuning.m4a
67. AG, airy	Sam’s iPhone		Voice Memos						Voice Memo	159085	19						4/24/21, 3:10 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:10 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/67. AG, airy.m4a
68. AG, reunion/major	Sam’s iPhone		Voice Memos						Voice Memo	226755	27						4/24/21, 3:11 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:11 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/68. AG, reunion_major.m4a
69. AG, resolve	Sam’s iPhone		Voice Memos						Voice Memo	192875	23						4/24/21, 3:11 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:11 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/69. AG, resolve.m4a
70. AG, hardheaded	Sam’s iPhone		Voice Memos						Voice Memo	270415	33						4/24/21, 3:11 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:11 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/70. AG, hardheaded.m4a
71. AG, major/quick-riff	Sam’s iPhone		Voice Memos						Voice Memo	347161	42						4/24/21, 3:12 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:11 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/71. AG, major_quick-riff.m4a
72. AG, stable	Sam’s iPhone		Voice Memos						Voice Memo	418733	52						4/24/21, 3:12 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:13 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/72. AG, stable.m4a
73. AG, walking bass	Sam’s iPhone		Voice Memos						Voice Memo	286039	35						4/24/21, 3:13 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:13 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/73. AG, walking bass.m4a
74. AG, adventure/major	Sam’s iPhone		Voice Memos						Voice Memo	279266	34						4/24/21, 3:13 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:13 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/74. AG, adventure_major.m4a
75. AG, minor/quick-riff	Sam’s iPhone		Voice Memos						Voice Memo	107262	12						4/24/21, 3:14 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:14 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/75. AG, minor_quick-riff.m4a
